                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0431,                 1.0129,                 1.1546,                0.87772,                 0.9008,                0.92794,                0.65393,                 1.2491,                0.82729,                 1.2575,             3.6393e-05,             3.6393e-05,             3.6393e-05
                     68,                 1.0447,                 1.0214,                 1.1635,                0.89927,                0.87906,                0.93419,                 0.6568,                 1.2492,                0.82909,                  1.262,             3.5353e-05,             3.5353e-05,             3.5353e-05
                     69,                 1.0408,                 1.0167,                 1.1599,                0.87862,                0.90043,                0.93335,                0.65818,                 1.2452,                0.82914,                 1.2624,             3.4314e-05,             3.4314e-05,             3.4314e-05
                     70,                 1.0408,                 1.0184,                 1.1569,                0.89752,                0.89259,                0.93379,                0.65586,                 1.2424,                0.82903,                 1.2563,             3.3275e-05,             3.3275e-05,             3.3275e-05
                     71,                 1.0341,                 1.0064,                 1.1495,                0.91088,                0.88214,                0.93194,                0.65385,                 1.2436,                0.82387,                 1.2601,             3.2235e-05,             3.2235e-05,             3.2235e-05
                     72,                 1.0329,                 1.0011,                 1.1534,                0.90765,                0.89062,                0.92847,                0.65319,                 1.2467,                0.82363,                 1.2609,             3.1196e-05,             3.1196e-05,             3.1196e-05
                     73,                 1.0302,                0.99894,                 1.1472,                0.90328,                0.89082,                0.92834,                0.65658,                 1.2397,                0.81795,                 1.2589,             3.0156e-05,             3.0156e-05,             3.0156e-05
                     74,                 1.0315,                 1.0119,                 1.1474,                 0.9008,                 0.8925,                0.93067,                0.66033,                 1.2443,                0.81702,                 1.2574,             2.9117e-05,             2.9117e-05,             2.9117e-05
                     75,                   1.03,                 1.0043,                 1.1506,                0.88215,                0.89975,                0.93013,                0.66113,                 1.2411,                0.81297,                 1.2592,             2.8077e-05,             2.8077e-05,             2.8077e-05
                     76,                 1.0238,                  1.001,                  1.155,                0.90459,                0.88346,                 0.9278,                0.65452,                 1.2492,                0.81172,                 1.2596,             2.7038e-05,             2.7038e-05,             2.7038e-05
                     77,                 1.0271,                0.98305,                 1.1461,                0.87282,                0.89641,                0.92781,                0.65415,                 1.2458,                0.81693,                 1.2622,             2.5998e-05,             2.5998e-05,             2.5998e-05
                     78,                 1.0328,                0.99162,                 1.1555,                0.89735,                0.87971,                 0.9292,                0.65121,                  1.253,                0.81325,                 1.2636,             2.4959e-05,             2.4959e-05,             2.4959e-05
                     79,                 1.0188,                0.97941,                 1.1494,                0.89961,                0.89366,                 0.9302,                0.65425,                  1.257,                0.81056,                  1.266,             2.3919e-05,             2.3919e-05,             2.3919e-05
                     80,                  1.015,                0.98099,                 1.1403,                0.92346,                0.87715,                 0.9306,                0.65422,                 1.2463,                0.80478,                 1.2593,              2.288e-05,              2.288e-05,              2.288e-05
                     81,                 1.0133,                0.98647,                 1.1447,                0.91544,                0.87505,                 0.9301,                0.65545,                 1.2449,                0.80656,                 1.2571,              2.184e-05,              2.184e-05,              2.184e-05
                     82,                 1.0148,                0.97309,                 1.1465,                0.91913,                0.87785,                0.92901,                0.65687,                  1.243,                0.80692,                 1.2612,               2.08e-05,               2.08e-05,               2.08e-05
                     83,                 1.0159,                0.98433,                 1.1495,                0.91935,                0.87993,                0.92853,                0.65486,                 1.2422,                0.80305,                 1.2609,             1.9761e-05,             1.9761e-05,             1.9761e-05
                     84,                 1.0118,                0.97239,                 1.1401,                0.92127,                0.87039,                0.92945,                0.64958,                 1.2517,                0.80257,                 1.2658,             1.8722e-05,             1.8722e-05,             1.8722e-05
                     85,                 1.0173,                0.96445,                 1.1414,                0.91948,                0.87926,                0.93036,                0.65397,                 1.2411,                0.79643,                 1.2599,             1.7682e-05,             1.7682e-05,             1.7682e-05
                     86,                0.99893,                0.96363,                  1.138,                0.92163,                 0.8776,                 0.9302,                0.65588,                 1.2438,                0.79609,                 1.2631,             1.6643e-05,             1.6643e-05,             1.6643e-05
                     87,                 1.0154,                0.97433,                 1.1463,                0.92457,                 0.8751,                0.93038,                0.65219,                 1.2429,                0.79939,                 1.2635,             1.5603e-05,             1.5603e-05,             1.5603e-05
                     88,                 1.0012,                0.95937,                  1.135,                0.92434,                0.88374,                0.92978,                0.65449,                 1.2405,                0.79537,                 1.2597,             1.4564e-05,             1.4564e-05,             1.4564e-05
                     89,                 1.0002,                0.96178,                 1.1378,                 0.9281,                0.87995,                0.93047,                0.65525,                 1.2482,                0.79245,                 1.2666,             1.3524e-05,             1.3524e-05,             1.3524e-05
                     90,                  1.004,                 0.9605,                 1.1363,                0.92585,                0.87661,                0.92929,                0.65561,                 1.2481,                0.79381,                 1.2637,             1.2484e-05,             1.2484e-05,             1.2484e-05
                     91,                0.90488,                0.72234,                   1.11,                0.90596,                0.89728,                0.93586,                0.66101,                 1.2491,                0.80714,                 1.2696,             1.1445e-05,             1.1445e-05,             1.1445e-05
                     92,                0.90041,                0.71469,                 1.1118,                0.86834,                0.92734,                0.93593,                0.65921,                 1.2496,                0.80495,                 1.2679,             1.0405e-05,             1.0405e-05,             1.0405e-05
                     93,                0.89052,                0.70577,                 1.1027,                0.88523,                0.90666,                0.93573,                0.66122,                 1.2495,                0.80016,                 1.2659,              9.366e-06,              9.366e-06,              9.366e-06
                     94,                 0.8863,                0.69293,                 1.1045,                0.88965,                0.90502,                0.93733,                0.66069,                 1.2539,                0.79764,                 1.2673,             8.3265e-06,             8.3265e-06,             8.3265e-06
                     95,                  0.886,                0.69718,                 1.1036,                0.92391,                0.88084,                0.93594,                0.65809,                 1.2537,                0.79857,                 1.2676,              7.287e-06,              7.287e-06,              7.287e-06
                     96,                0.88278,                0.69739,                 1.1056,                0.92425,                0.87982,                0.93691,                0.66066,                 1.2497,                0.79543,                 1.2645,             6.2475e-06,             6.2475e-06,             6.2475e-06
                     97,                0.87208,                0.69237,                 1.0995,                0.93252,                0.87368,                0.93764,                0.66016,                 1.2484,                0.79333,                 1.2654,              5.208e-06,              5.208e-06,              5.208e-06
                     98,                0.86815,                 0.6866,                 1.0936,                0.93256,                0.87261,                0.93704,                0.65895,                 1.2484,                 0.7923,                 1.2657,             4.1685e-06,             4.1685e-06,             4.1685e-06
                     99,                0.86956,                 0.6834,                 1.0967,                0.92468,                0.88113,                0.93562,                0.65882,                 1.2502,                0.79241,                 1.2673,              3.129e-06,              3.129e-06,              3.129e-06
                    100,                0.87101,                0.68458,                 1.0981,                0.93076,                0.87563,                0.93717,                0.65771,                 1.2498,                0.79337,                 1.2665,             2.0895e-06,             2.0895e-06,             2.0895e-06
